r,φ,J_t_ABSsch,J_r_ABSsch,J_φ_ABSsch,J_t_SCATTsch,J_r_SCATTsch,J_φ_SCATTsch
10.0,-3.141592653589793,-0.034948969236758554,-0.026131774761910302,-4.031970471557519e-18,-0.3573825530389775,0.12437443023386673,-4.61480889801922e-16
10.0,-2.6179938779914944,-0.03922444204013936,-0.029879940694641966,-0.01897304704151508,-0.4424588537253775,0.14591269207780963,-2.045683343148691
10.0,-2.0943951023931957,-0.05517970471962285,-0.04434701656562673,-0.05027574498905279,-0.6096579724782607,0.1263827196675524,-4.117073995102711
10.0,-1.5707963267948966,-0.09480611758458711,-0.08239706394416323,-0.11554873931728103,-0.6944837796771653,-1.7878627103540644e-17,-5.1185821920618455
10.0,-1.0471975511965979,-0.18138936678398276,-0.1708331311465911,-0.2330120972614112,-0.6096579724782608,-0.12638271966755235,-4.117073995102713
10.0,-0.5235987755982991,-0.31212145756484977,-0.3109286389212378,-0.2785400479370788,-0.4424588537253777,-0.14591269207780963,-2.0456833431486925
10.0,0.0,-0.38351859340452865,-0.3894962523477008,0.0,-0.3573825530389775,-0.12437443023386673,0.0
10.0,0.5235987755982987,-0.3121214575648499,-0.3109286389212379,0.2785400479370787,-0.4424588537253775,-0.1459126920778096,2.0456833431486907
10.0,1.0471975511965974,-0.18138936678398285,-0.1708331311465912,0.23301209726141134,-0.6096579724782606,-0.1263827196675524,4.11707399510271
10.0,1.5707963267948966,-0.09480611758458711,-0.08239706394416323,0.11554873931728103,-0.6944837796771653,-1.7878627103540644e-17,5.1185821920618455
10.0,2.094395102393195,-0.05517970471962289,-0.04434701656562677,0.05027574498905288,-0.6096579724782609,0.1263827196675523,4.117073995102714
10.0,2.617993877991494,-0.03922444204013937,-0.029879940694641973,0.018973047041515104,-0.44245885372537774,0.14591269207780963,2.045683343148693
10.0,3.141592653589793,-0.034948969236758554,-0.026131774761910302,4.031970471557519e-18,-0.3573825530389775,0.12437443023386673,4.61480889801922e-16
9.5,-3.141592653589793,-0.03696744691972538,-0.028112519026027925,-4.524993606657592e-18,-0.3427994566654191,0.11332826473354642,-4.329429992321893e-16
9.5,-2.6179938779914944,-0.04154537440680865,-0.03218492061649001,-0.02130313665088242,-0.42887265290864973,0.13576502387282174,-1.9332153175033793
9.5,-2.0943951023931957,-0.05863696560962687,-0.047907034063098,-0.05650035167719635,-0.6016938573315158,0.12108351334531496,-3.938320528949901
