r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
5,-3.141592653589793,-5.0,-6.123233995736766e-16,2024-09-10T12:38:19.182,-3.611359453009228,-4.475568029659721,-7.752130697852661e-16,-8.904739694729418,-0.10116748469186815,-7.12070517718829e-15,4.576735514351589,2.13967209921418e-15,0.6894404931800051
6,-3.141592653589793,-6.0,-7.347880794884119e-16,2024-09-10T12:42:52.398,-2.684197350794883,-3.14088801297008,-4.2909196042129124e-16,-10.522991775299957,1.31645775103008,-9.13214041080726e-15,1.8244302619400001,1.8169669965933308e-15,0.7044053589233888
7,-3.141592653589793,-7.0,-8.572527594031472e-16,2024-09-10T12:42:54.064,-2.1703216255373783,-2.425336278186364,-2.785793970348119e-16,-12.064125586933113,2.6155567683354235,-1.1255731283857138e-14,-0.19022049014905962,1.6244633772595214e-15,0.7365478405338373
8,-3.141592653589793,-8.0,-9.797174393178826e-16,2024-09-10T12:42:55.562,-1.8361557375629993,-1.9783345574958897,-1.9776264298898036e-16,-13.416705291719271,3.7344967134187153,-1.3342877372241292e-14,-1.7561621559228255,1.4775121656003238e-15,0.7673818545438803
9,-3.141592653589793,-9.0,-1.102182119232618e-15,2024-09-10T12:42:56.924,-1.5983646280557724,-1.6721020960267279,-1.4867854431959443e-16,-14.577632790771743,4.680690843927743,-1.5356293972335297e-14,-3.0085887479010154,1.3543288660659933e-15,0.7937195827983285
10,-3.141592653589793,-10.0,-1.2246467991473533e-15,2024-09-10T12:42:58.263,-1.419066143951023,-1.4489191313932148,-1.1635121097703101e-16,-15.570552345584282,5.478940294269805,-1.729675245860966e-14,-4.03002116287659,1.2477751151973782e-15,0.8156257724689306
11,-3.141592653589793,-11.0,-1.3471114790620886e-15,2024-09-10T12:42:59.634,-1.2782967661185773,-1.278880793427852,-9.380044124924789e-17,-16.42271238477994,6.155217266804585,-1.917520269100811e-14,-4.876336473376733,1.1545485721093108e-15,0.8338105257554691
12,-3.141592653589793,-12.0,-1.4695761589768238e-15,2024-09-10T12:43:01.025,-1.1644275357980112,-1.1449320954381912,-7.737864025045313e-17,-17.158555268787097,6.732094925694122,-2.1003635114117197e-14,-5.587162830255931,1.0725210385585051e-15,0.8490019128692149
13,-3.141592653589793,-13.0,-1.592040838891559e-15,2024-09-10T12:43:02.369,-1.0701750767244258,-1.036628578777826,-6.501361171962369e-17,-17.798419699653365,7.228007040713257,-2.279245983569613e-14,-6.191378461935431,1.0000420066908417e-15,0.861808647638095
14,-3.141592653589793,-14.0,-1.7145055188062944e-15,2024-09-10T12:43:03.717,-0.9907199966237593,-0.9472123325761431,-5.545054005860273e-17,-18.358783065570506,7.657668477212026,-2.45500524700697e-14,-6.710456144635883,9.357420654601766e-16,0.8727106665551083
15,-3.141592653589793,-15.0,-1.83697019872103e-15,2024-09-10T12:43:05.019,-0.9227328238781431,-0.8721149074286955,-4.789026930409169e-17,-18.8528873375272,8.032750611071352,-2.628295863447932e-14,-7.160635703642656,8.784649674862708e-16,0.8820798889684583
16,-3.141592653589793,-16.0,-1.959434878635765e-15,2024-09-10T12:43:06.195,-0.8638320920366249,-0.8081355891226483,-4.180259731199148e-17,-19.291376840846194,8.362522023318355,-2.7996243457471923e-14,-7.554386434195707,8.272323618079986e-16,0.8902040606557209
17,-3.141592653589793,-17.0,-2.0818995585505003e-15,2024-09-10T12:43:07.496,-0.8122649992513272,-0.7529642738929188,-3.6823647572038306e-17,-19.6828441551547,8.654379385906973,-2.969382279915405e-14,-7.901415112014054,7.812172831235162e-16,0.8973069605916401
18,-3.141592653589793,-18.0,-2.204364238465236e-15,2024-09-10T12:43:08.868,-0.7667101702348726,-0.7048912720078968,-3.269647764286677e-17,-20.03426732034381,8.914264640728893,-3.1378735139345326e-14,-8.209373368720996,7.397212523761527e-16,0.903564006194207
19,-3.141592653589793,-19.0,-2.326828918379971e-15,2024-09-10T12:43:10.237,-0.7261509594698474,-0.6626237644388839,-2.923517083063807e-17,-20.35135340764341,9.146987594428083,-3.305335168327906e-14,-8.4843638299892,7.021538810754622e-16,0.9091140128264458
20,-3.141592653589793,-20.0,-2.4492935982947065e-15,2024-09-10T12:43:11.624,-0.6897913371188383,-0.625165805348883,-2.6302350713873627e-17,-20.63880289570976,9.356470939184788,-3.4719536333795073e-14,-8.731305133835905,6.680154457723481e-16,0.9140678606762875
21,-3.141592653589793,-21.0,-2.5717582782094417e-15,2024-09-10T12:43:12.952,-0.6569984219832785,-0.59173756557712,-2.3794619173696435e-17,-20.900515216603292,9.545938680431753,-3.6378764728248576e-14,-8.954201114854634,6.368818335972693e-16,0.9185149620031157
22,-3.141592653589793,-22.0,-2.6942229581241772e-15,2024-09-10T12:43:14.307,-0.6272622485122622,-0.5617196151861458,-2.1632881109147627e-17,-21.139747841311774,9.718060198497659,-3.803221432820717e-14,-9.156340583311513,6.083920089706511e-16,0.922528077521244
23,-3.141592653589793,-23.0,-2.8166876380389124e-15,2024-09-10T12:43:15.670,-0.600166982298649,-0.5346136215442503,-1.9755754191606442e-17,-21.35924007990846,9.875061388610545,-3.968083149555969e-14,-9.340447767066294,5.822375430655437e-16,0.9261669269688518
24,-3.141592653589793,-24.0,-2.9391523179536475e-15,2024-09-10T12:43:17.022,-0.5753699306814629,-0.5100140794721744,-1.811498430126617e-17,-21.56131016567158,10.018810897815422,-4.132538241879101e-14,-9.508796818343248,5.581539663961855e-16,0.9294809275304741
25,-3.141592653589793,-25.0,-3.061616997868383e-15,2024-09-10T12:43:18.359,-0.5525859758440764,-0.48758761849504967,-1.667219496219088e-17,-21.747931824237934,10.15088753329496,-4.296649178403479e-14,-9.663299914799909,5.359136281738195e-16,0.9325112858849572
26,-3.141592653589793,-26.0,-3.184081677783118e-15,2024-09-10T12:43:19.687,-0.5315758530119528,-0.46705761675341384,-1.5396543080308103e-17,-21.920794940036735,10.272633260488103,-4.46046720724689e-14,-9.80557564373469,5.153198026237377e-16,0.9352926054776904
